סוג מוצר,שם קופה,שם חברה,קוד קופה,חשיפה למניות,"חשיפה לחו""ל","חשיפה למט""ח","אג""ח ממשלתיות סחירות","אג""ח קונצרני סחיר ותעודות סל אג""חיות","אג""ח קונצרניות לא סחירות","מניות, אופציות ותעודות סל מנייתיות",פיקדונות,הלוואות,מזומנים ושווי מזומנים,קרנות נאמנות,נכסים אחרים,נכסים סחירים ונזילים,נכסים לא סחירים,נכסים בארץ,"נכסים בחו""ל ובמט""ח",מקור
ביטוח מנהלים,אי.די.אי.-כללי,ביטוח ישיר,108,47.91%,25.37%,19.94%,13.74%,21.07%,0.44%,44.6%,,2.95%,3.33%,4.15%,9.72%,86.33%,13.67%,84.51%,15.49%,bituah.xml
ביטוח מנהלים,"איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות",ביטוח ישיר,1,3.13%,7.21%,10.06%,76.6%,6.2%,0.13%,2.61%,,1.07%,1.2%,1.48%,10.72%,88.08%,11.92%,92.75%,7.25%,bituah.xml
ביטוח מנהלים,איי. די. איי. מסלול מניות,ביטוח ישיר,12895,83.28%,32.4%,5.81%,0.39%,,,76.08%,,,16.33%,7.2%,,100.0%,,99.47%,0.53%,bituah.xml
ביטוח מנהלים,"איי.די.איי. מסלול אשראי ואג""ח",ביטוח ישיר,98,4.19%,5.44%,9.52%,38.46%,38.28%,2.47%,3.05%,,2.65%,1.88%,2.1%,11.12%,83.76%,16.24%,93.54%,6.46%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ  מניות סחיר",איילון,12900,97.18%,97.6%,43.36%,0.42%,,,89.41%,,,6.07%,,4.09%,95.91%,4.09%,8.33%,91.67%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ אג""ח ממשלתי סחיר",איילון,15402,,,,99.98%,,,,,,0.02%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ אשראי ואג""ח",איילון,114,0.08%,6.99%,4.0%,39.3%,47.82%,1.71%,0.03%,,3.05%,5.68%,0.69%,1.72%,93.52%,6.48%,93.42%,6.58%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25%)",איילון,9456,22.26%,10.72%,5.08%,28.1%,40.2%,0.58%,22.22%,,0.05%,8.41%,,0.45%,98.92%,1.08%,91.03%,8.97%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ הלכה",איילון,2251,49.72%,23.95%,18.13%,17.34%,31.49%,,48.93%,,,1.76%,,0.49%,99.51%,0.49%,75.53%,24.47%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ כספי (שקלי)",איילון,164,,,,64.26%,30.35%,0.39%,,,0.18%,4.81%,,,99.43%,0.57%,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ מניות",איילון,115,96.37%,45.66%,20.92%,3.48%,,,85.1%,,,7.47%,1.03%,2.92%,96.96%,3.04%,63.91%,36.09%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ משולב סחיר",איילון,14306,44.77%,98.86%,99.27%,,54.09%,,44.77%,,,1.14%,,,100.0%,,7.7%,92.3%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקב מדדי אג""ח",איילון,15401,,,,,95.32%,,,,,4.68%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקב מדדים - גמיש",איילון,14168,98.01%,,,,,,98.01%,,,1.99%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקבי מדדים עוקב מדד s&p 500",איילון,14169,99.0%,103.2%,98.18%,62.88%,,,35.71%,,,5.69%,,-4.28%,104.28%,-4.28%,59.1%,40.9%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקבי מדדים עוקב מדדי מניות",איילון,8572,96.69%,44.46%,18.91%,,,,91.11%,,,7.96%,,0.93%,99.07%,0.93%,71.02%,28.98%,bituah.xml
ביטוח מנהלים,איילון מסלול לבני 50 ומטה,איילון,9636,56.58%,40.2%,17.89%,1.68%,17.58%,1.89%,51.96%,,5.72%,0.52%,2.24%,18.39%,73.85%,26.15%,64.06%,35.94%,bituah.xml
ביטוח מנהלים,איילון מסלול לבני 50 עד 60,איילון,9670,50.08%,33.97%,17.83%,6.02%,24.23%,1.96%,49.06%,,4.93%,0.63%,1.7%,11.48%,81.42%,18.58%,67.14%,32.86%,bituah.xml
ביטוח מנהלים,איילון מסלול לבני 60 ומעלה,איילון,9671,26.93%,23.3%,10.35%,21.2%,30.08%,1.91%,24.48%,,5.04%,4.67%,1.16%,11.46%,81.38%,18.62%,77.93%,22.07%,bituah.xml
ביטוח מנהלים,איילון- כללי,איילון,116,48.77%,33.4%,16.58%,6.39%,20.39%,1.98%,42.9%,,4.65%,7.39%,1.93%,14.37%,79.06%,20.94%,71.88%,28.12%,bituah.xml
ביטוח מנהלים,איילון-קרן ט',איילון,46011,49.55%,33.9%,16.46%,6.83%,23.96%,2.11%,43.27%,,4.63%,1.71%,2.08%,15.41%,77.85%,22.15%,69.44%,30.56%,bituah.xml
ביטוח מנהלים,איילון-קרן י',איילון,46012,49.22%,34.54%,17.29%,2.75%,23.26%,2.39%,44.83%,,4.95%,0.83%,2.13%,18.85%,73.59%,26.41%,69.53%,30.47%,bituah.xml
ביטוח מנהלים,איילון-קרן י' חדשה,איילון,46013,49.1%,36.42%,17.55%,1.7%,21.2%,2.21%,44.53%,,4.85%,1.24%,2.43%,21.85%,71.14%,28.86%,67.69%,32.31%,bituah.xml
ביטוח מנהלים,איילוןמסלול בסיסי למקבלי קצבה,איילון,1801,24.86%,14.71%,5.48%,34.45%,29.44%,1.36%,22.04%,,3.24%,5.16%,0.28%,4.04%,91.19%,8.81%,87.83%,12.17%,bituah.xml
ביטוח מנהלים,"אקסלנס אינווסט  אשראי ואג""ח (עד 25% מניות)",הפניקס (הדר),104,23.27%,16.35%,15.66%,33.21%,36.5%,0.01%,19.01%,,,2.09%,9.18%,,99.99%,0.01%,85.7%,14.3%,bituah.xml
ביטוח מנהלים,אקסלנס אינווסט הלכה,הפניקס (הדר),9602,45.0%,16.28%,24.39%,24.48%,28.21%,,45.0%,,,2.31%,,,100.0%,,83.72%,16.28%,bituah.xml
ביטוח מנהלים,אקסלנס אינווסט כספי (שקלי),הפניקס (הדר),9603,0.0%,0.0%,0.0%,97.01%,,,,,,2.99%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,אקסלנס אינווסט מניות,הפניקס (הדר),9601,92.1%,55.5%,48.17%,,,,74.81%,,,7.75%,17.29%,0.15%,99.85%,0.15%,48.54%,51.46%,bituah.xml
ביטוח מנהלים,"הכשרה - אלטשולר שחם בע""מ - כללי",הכשרה,143,46.08%,48.72%,20.75%,40.21%,11.79%,0.75%,35.36%,,2.86%,5.02%,1.77%,2.25%,95.96%,4.04%,66.58%,33.42%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות אלטשולר שחם בע""מ - מניות",הכשרה,142,94.88%,80.98%,36.05%,2.47%,,,79.65%,,,8.38%,6.31%,3.18%,98.89%,1.11%,29.47%,70.53%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות אנליסט ניהול תיקי השקעות בע""מ - מניות",הכשרה,13500,95.77%,67.68%,33.85%,9.55%,0.79%,,75.98%,,,9.57%,0.81%,3.3%,100.0%,,80.23%,19.77%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות ילין לפידות ניהול תיקי השקעות בע""מ - אג""ח ממשלות",הכשרה,9300,0.02%,6.35%,6.14%,79.16%,12.22%,1.6%,0.02%,0.6%,1.53%,4.21%,,0.65%,95.83%,4.17%,94.74%,5.26%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות ילין לפידות ניהול תיקי השקעות בע""מ - מניות",הכשרה,9301,95.19%,69.24%,32.9%,10.39%,3.73%,0.16%,76.89%,2.6%,,3.46%,,2.77%,97.24%,2.76%,71.14%,28.86%,bituah.xml
